h_m_s,HQU
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,0.0
2019-04-04 09:30:10,0.6128624941747346
2019-04-04 09:30:11,0.4904136895014638
2019-04-04 09:30:12,0.3941605619716295
2019-04-04 09:30:13,0.31790099595669286
2019-04-04 09:30:14,0.25710422086142826
2019-04-04 09:30:15,0.20839364159759113
2019-04-04 09:30:16,0.1692110627237313
2019-04-04 09:30:17,0.13759182714780654
2019-04-04 09:30:18,0.11201009465780065
2019-04-04 09:30:19,0.09126981292981948
2019-04-04 09:30:20,0.07442625516145392
2019-04-04 09:30:21,0.0607284999831145
2019-04-04 09:30:22,0.049576573138692556
2019-04-04 09:30:23,0.04048905699219452
2019-04-04 09:30:24,0.03307830729740972
2019-04-04 09:30:25,0.027031287503138098
2019-04-04 09:30:26,0.022094611194626607
2019-04-04 09:30:27,0.0180627773609702
2019-04-04 09:30:28,0.014768855587295657
2019-04-04 09:30:29,0.012077069757110405
2019-04-04 09:30:30,0.009876865609686954
2019-04-04 09:30:31,0.00807814664815731
2019-04-04 09:30:32,0.006607435799223194
2019-04-04 09:30:33,0.005404774541218848
2019-04-04 09:30:34,0.004421212176990776
2019-04-04 09:30:35,0.0036167691592969087
2019-04-04 09:30:36,0.0029587824284624874
2019-04-04 09:30:37,0.0024205594105843097
2019-04-04 09:30:38,0.0019802819599866054
2019-04-04 09:30:39,0.0016201130696610806
2019-04-04 09:30:40,0.0013254683267704909
2019-04-04 09:30:41,0.0010844213875263926
2019-04-04 09:30:42,0.0008872185884559278
2019-04-04 09:30:43,0.0007258825063168784
2019-04-04 09:30:44,0.0005938880636868456
2019-04-04 09:30:45,0.00048589783597019
2019-04-04 09:30:46,0.0003975456928372913
2019-04-04 09:30:47,0.0003252599170548047
2019-04-04 09:30:48,0.00026611857686105326
2019-04-04 09:30:49,0.00021773125673421321
2019-04-04 09:30:50,0.00017814233346026337
2019-04-04 09:30:51,0.00014575186634896287
2019-04-04 09:30:52,0.00011925088977346839
2019-04-04 09:30:53,9.756848323710732e-05
2019-04-04 09:30:54,7.982847345427151e-05
2019-04-04 09:30:55,6.531401439613908e-05
2019-04-04 09:30:56,5.343861108722599e-05
2019-04-04 09:30:57,4.372241431887188e-05
2019-04-04 09:30:58,3.577282709921146e-05
2019-04-04 09:30:59,2.926863833067619e-05
2019-04-04 09:31:00,2.3947042028170745e-05
2019-04-04 09:31:01,1.9593017184642974e-05
2019-04-04 09:31:02,1.6030638908400514e-05
2019-04-04 09:31:03,1.3115969580046348e-05
2019-04-04 09:31:04,1.0731242677892663e-05
2019-04-04 09:31:05,8.780104191117735e-06
2019-04-04 09:31:06,7.183719298445953e-06
2019-04-04 09:31:07,5.87758696889509e-06
2019-04-04 09:31:08,4.808933756458181e-06
2019-04-04 09:31:09,3.934581470670954e-06
2019-04-04 09:31:10,3.2192025570778905e-06
2019-04-04 09:31:11,2.6338926903795693e-06
2019-04-04 09:31:12,2.1550029022102364e-06
2019-04-04 09:31:13,1.7631840534106644e-06
2019-04-04 09:31:14,1.4426050413537723e-06
2019-04-04 09:31:15,1.1803131532262244e-06
2019-04-04 09:31:16,9.657107199406684e-07
2019-04-04 09:31:17,7.90126924703688e-07
2019-04-04 09:31:18,6.464674651213798e-07
2019-04-04 09:31:19,5.289279134720845e-07
2019-04-04 09:31:20,4.327591935396257e-07
2019-04-04 09:31:21,3.540756981873099e-07
2019-04-04 09:31:22,2.8969829475618836e-07
2019-04-04 09:31:23,2.3702587501029605e-07
2019-04-04 09:31:24,1.939302596867956e-07
2019-04-04 09:31:25,1.586702113428621e-07
2019-04-04 09:31:26,1.2982108125258677e-07
2019-04-04 09:31:27,1.0621724779201754e-07
2019-04-04 09:31:28,8.690502058231326e-08
2019-04-04 09:31:29,7.110410752261418e-08
2019-04-04 09:31:30,5.817608782138972e-08
2019-04-04 09:31:31,4.759861720688648e-08
2019-04-04 09:31:32,3.894432310130889e-08
2019-04-04 09:31:33,3.186353703739395e-08
2019-04-04 09:31:34,2.6070166636503267e-08
2019-04-04 09:31:35,2.1330136318569704e-08
2019-04-04 09:31:36,1.7451929701545553e-08
2019-04-04 09:31:37,1.4278851564855657e-08
2019-04-04 09:31:38,1.168269672876596e-08
2019-04-04 09:31:39,9.558570046714372e-09
2019-04-04 09:31:40,7.820648217298325e-09
2019-04-04 09:31:41,6.3987121759548506e-09
2019-04-04 09:31:42,5.235309960916698e-09
2019-04-04 09:31:43,4.283435421746037e-09
2019-04-04 09:31:44,3.504628980878198e-09
2019-04-04 09:31:45,2.8674237112591817e-09
2019-04-04 09:31:46,2.3460739453290554e-09
2019-04-04 09:31:47,1.919515046013213e-09
2019-04-04 09:31:48,1.570512310263922e-09
2019-04-04 09:31:49,1.2849646174146757e-09
2019-04-04 09:31:50,1.0513346869261149e-09
2019-04-04 09:31:51,8.601829256336655e-10
2019-04-04 09:31:52,7.037860300417129e-10
2019-04-04 09:31:53,5.758249336556344e-10
2019-04-04 09:31:54,4.711294911628456e-10
2019-04-04 09:31:55,3.8546958367203357e-10
2019-04-04 09:31:56,3.1538420481811577e-10
2019-04-04 09:31:57,2.580416221209292e-10
2019-04-04 09:31:58,2.1112496355149017e-10
2019-04-04 09:31:59,1.7273860654079125e-10
2019-04-04 09:32:00,1.413315871688432e-10
2019-04-04 09:32:01,1.1563493495572707e-10
2019-04-04 09:32:02,9.461040132701195e-11
2019-04-04 09:32:03,7.740851017637763e-11
2019-04-04 09:32:04,6.333423559867467e-11
2019-04-04 09:32:05,5.181892003515894e-11
2019-04-04 09:32:06,4.2397298210504045e-11
2019-04-04 09:32:07,3.4688698535813024e-11
2019-04-04 09:32:08,2.8381662438356378e-11
2019-04-04 09:32:09,2.3221360176812872e-11
2019-04-04 09:32:10,1.8999294690103445e-11
2019-04-04 09:32:11,1.554487747371017e-11
2019-04-04 09:32:12,1.2718536114846527e-11
2019-04-04 09:32:13,1.0406075003051397e-11
2019-04-04 09:32:14,8.514061366129712e-12
2019-04-04 09:32:15,6.966050208649408e-12
2019-04-04 09:32:16,5.6994956252571506e-12
2019-04-04 09:32:17,4.663223693391239e-12
2019-04-04 09:32:18,3.815364840046725e-12
2019-04-04 09:32:19,3.1216621418559738e-12
2019-04-04 09:32:20,2.554087206972777e-12
2019-04-04 09:32:21,2.0897077147957124e-12
2019-04-04 09:32:22,1.7097608575599973e-12
2019-04-04 09:32:23,1.3988952470944553e-12
