h_m_s,FOOD
2019-04-04 09:30:00,
2019-04-04 09:30:01,
2019-04-04 09:30:02,
2019-04-04 09:30:03,
2019-04-04 09:30:04,
2019-04-04 09:30:05,
2019-04-04 09:30:06,
2019-04-04 09:30:07,
2019-04-04 09:30:08,
2019-04-04 09:30:09,
2019-04-04 09:30:10,
2019-04-04 09:30:11,
2019-04-04 09:30:12,
2019-04-04 09:30:13,
2019-04-04 09:30:14,
2019-04-04 09:30:15,
2019-04-04 09:30:16,
2019-04-04 09:30:17,
2019-04-04 09:30:18,
2019-04-04 09:30:19,
2019-04-04 09:30:20,
2019-04-04 09:30:21,
2019-04-04 09:30:22,
2019-04-04 09:30:23,
2019-04-04 09:30:24,
2019-04-04 09:30:25,
2019-04-04 09:30:26,
2019-04-04 09:30:27,
2019-04-04 09:30:28,
2019-04-04 09:30:29,
2019-04-04 09:30:30,
2019-04-04 09:30:31,
2019-04-04 09:30:32,
2019-04-04 09:30:33,
2019-04-04 09:30:34,
2019-04-04 09:30:35,
2019-04-04 09:30:36,
2019-04-04 09:30:37,
2019-04-04 09:30:38,
2019-04-04 09:30:39,
2019-04-04 09:30:40,
2019-04-04 09:30:41,
2019-04-04 09:30:42,
2019-04-04 09:30:43,
2019-04-04 09:30:44,
2019-04-04 09:30:45,
2019-04-04 09:30:46,
2019-04-04 09:30:47,
2019-04-04 09:30:48,
2019-04-04 09:30:49,
2019-04-04 09:30:50,
2019-04-04 09:30:51,
2019-04-04 09:30:52,
2019-04-04 09:30:53,
2019-04-04 09:30:54,
2019-04-04 09:30:55,
2019-04-04 09:30:56,
2019-04-04 09:30:57,
2019-04-04 09:30:58,
2019-04-04 09:30:59,
2019-04-04 09:31:00,
2019-04-04 09:31:01,
2019-04-04 09:31:02,
2019-04-04 09:31:03,
2019-04-04 09:31:04,
2019-04-04 09:31:05,
2019-04-04 09:31:06,
2019-04-04 09:31:07,
2019-04-04 09:31:08,
2019-04-04 09:31:09,
2019-04-04 09:31:10,
2019-04-04 09:31:11,
2019-04-04 09:31:12,
2019-04-04 09:31:13,
2019-04-04 09:31:14,
2019-04-04 09:31:15,
2019-04-04 09:31:16,
2019-04-04 09:31:17,
2019-04-04 09:31:18,
2019-04-04 09:31:19,
2019-04-04 09:31:20,
2019-04-04 09:31:21,
2019-04-04 09:31:22,
2019-04-04 09:31:23,
2019-04-04 09:31:24,
2019-04-04 09:31:25,
2019-04-04 09:31:26,
2019-04-04 09:31:27,
2019-04-04 09:31:28,
2019-04-04 09:31:29,
2019-04-04 09:31:30,
2019-04-04 09:31:31,
2019-04-04 09:31:32,
2019-04-04 09:31:33,
2019-04-04 09:31:34,
2019-04-04 09:31:35,
2019-04-04 09:31:36,
2019-04-04 09:31:37,
2019-04-04 09:31:38,
2019-04-04 09:31:39,
2019-04-04 09:31:40,
2019-04-04 09:31:41,
2019-04-04 09:31:42,
2019-04-04 09:31:43,
2019-04-04 09:31:44,
2019-04-04 09:31:45,
2019-04-04 09:31:46,
2019-04-04 09:31:47,
2019-04-04 09:31:48,
2019-04-04 09:31:49,
2019-04-04 09:31:50,
2019-04-04 09:31:51,
2019-04-04 09:31:52,
2019-04-04 09:31:53,
2019-04-04 09:31:54,
2019-04-04 09:31:55,
2019-04-04 09:31:56,
2019-04-04 09:31:57,
2019-04-04 09:31:58,
2019-04-04 09:31:59,
2019-04-04 09:32:00,
2019-04-04 09:32:01,
2019-04-04 09:32:02,
2019-04-04 09:32:03,
2019-04-04 09:32:04,
2019-04-04 09:32:05,
2019-04-04 09:32:06,
2019-04-04 09:32:07,
2019-04-04 09:32:08,
2019-04-04 09:32:09,
2019-04-04 09:32:10,
2019-04-04 09:32:11,
2019-04-04 09:32:12,
2019-04-04 09:32:13,
2019-04-04 09:32:14,
2019-04-04 09:32:15,
2019-04-04 09:32:16,
2019-04-04 09:32:17,
2019-04-04 09:32:18,
2019-04-04 09:32:19,
2019-04-04 09:32:20,
2019-04-04 09:32:21,
2019-04-04 09:32:22,
2019-04-04 09:32:23,
2019-04-04 09:32:24,
2019-04-04 09:32:25,
2019-04-04 09:32:26,
2019-04-04 09:32:27,
2019-04-04 09:32:28,
2019-04-04 09:32:29,
2019-04-04 09:32:30,
2019-04-04 09:32:31,
2019-04-04 09:32:32,
2019-04-04 09:32:33,
2019-04-04 09:32:34,
2019-04-04 09:32:35,
2019-04-04 09:32:36,
2019-04-04 09:32:37,
2019-04-04 09:32:38,
2019-04-04 09:32:39,
2019-04-04 09:32:40,
2019-04-04 09:32:41,
2019-04-04 09:32:42,
2019-04-04 09:32:43,
2019-04-04 09:32:44,
2019-04-04 09:32:45,
2019-04-04 09:32:46,
2019-04-04 09:32:47,
2019-04-04 09:32:48,
2019-04-04 09:32:49,
2019-04-04 09:32:50,
2019-04-04 09:32:51,
2019-04-04 09:32:52,
2019-04-04 09:32:53,
2019-04-04 09:32:54,
2019-04-04 09:32:55,
2019-04-04 09:32:56,
2019-04-04 09:32:57,
2019-04-04 09:32:58,
2019-04-04 09:32:59,
2019-04-04 09:33:00,
2019-04-04 09:33:01,
2019-04-04 09:33:02,
2019-04-04 09:33:03,
2019-04-04 09:33:04,
2019-04-04 09:33:05,
2019-04-04 09:33:06,
2019-04-04 09:33:07,
2019-04-04 09:33:08,
2019-04-04 09:33:09,
2019-04-04 09:33:10,
2019-04-04 09:33:11,
2019-04-04 09:33:12,
2019-04-04 09:33:13,
2019-04-04 09:33:14,
2019-04-04 09:33:15,
2019-04-04 09:33:16,
2019-04-04 09:33:17,
2019-04-04 09:33:18,
2019-04-04 09:33:19,
2019-04-04 09:33:20,
2019-04-04 09:33:21,
2019-04-04 09:33:22,
2019-04-04 09:33:23,
2019-04-04 09:33:24,
2019-04-04 09:33:25,
2019-04-04 09:33:26,
2019-04-04 09:33:27,
2019-04-04 09:33:28,
2019-04-04 09:33:29,
2019-04-04 09:33:30,
2019-04-04 09:33:31,
2019-04-04 09:33:32,
2019-04-04 09:33:33,
2019-04-04 09:33:34,
2019-04-04 09:33:35,
2019-04-04 09:33:36,
2019-04-04 09:33:37,
2019-04-04 09:33:38,
2019-04-04 09:33:39,
2019-04-04 09:33:40,
2019-04-04 09:33:41,
2019-04-04 09:33:42,
2019-04-04 09:33:43,
2019-04-04 09:33:44,
2019-04-04 09:33:45,
2019-04-04 09:33:46,
2019-04-04 09:33:47,
2019-04-04 09:33:48,
2019-04-04 09:33:49,
2019-04-04 09:33:50,
2019-04-04 09:33:51,
2019-04-04 09:33:52,
2019-04-04 09:33:53,
2019-04-04 09:33:54,
2019-04-04 09:33:55,
2019-04-04 09:33:56,
2019-04-04 09:33:57,
